Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Agincourt,Lounge,Latin American Restaurant,Breakfast Spot,Clothing Store,Dumpling Restaurant,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
"Alderwood, Long Branch",Pizza Place,Gym,Playground,Coffee Shop,Sandwich Place,Pub,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner
"Bathurst Manor, Wilson Heights, Downsview North",Coffee Shop,Bank,Mobile Phone Shop,Frozen Yogurt Shop,Bridal Shop,Sandwich Place,Diner,Restaurant,Deli / Bodega,Middle Eastern Restaurant
Bayview Village,Café,Chinese Restaurant,Bank,Japanese Restaurant,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Yoga Studio,Diner
"Bedford Park, Lawrence Manor East",Italian Restaurant,Coffee Shop,Sandwich Place,Sushi Restaurant,Comfort Food Restaurant,Pharmacy,Pizza Place,Pub,Café,Butcher
Berczy Park,Coffee Shop,Cocktail Bar,Bakery,Pharmacy,Cheese Shop,Restaurant,Farmers Market,Beer Bar,Seafood Restaurant,Greek Restaurant
"Birch Cliff, Cliffside West",College Stadium,Skating Rink,Café,General Entertainment,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
"Brockton, Parkdale Village, Exhibition Place",Café,Breakfast Spot,Coffee Shop,Yoga Studio,Bakery,Stadium,Burrito Place,Restaurant,Climbing Gym,Pet Store
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Airport Lounge,Airport Service,Boutique,Coffee Shop,Boat or Ferry,Rental Car Location,Harbor / Marina,Bar,Sculpture Garden,Airport Terminal
Caledonia-Fairbanks,Park,Women's Store,Pool,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
Cedarbrae,Caribbean Restaurant,Hakka Restaurant,Bakery,Bank,Fried Chicken Joint,Athletics & Sports,Thai Restaurant,Gas Station,Dog Run,Discount Store
Central Bay Street,Coffee Shop,Sandwich Place,Café,Italian Restaurant,Burger Joint,Salad Place,Bubble Tea Shop,Ramen Restaurant,Modern European Restaurant,Japanese Restaurant
Christie,Grocery Store,Café,Park,Coffee Shop,Candy Store,Athletics & Sports,Italian Restaurant,Restaurant,Baby Store,Nightclub
Church and Wellesley,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Restaurant,Yoga Studio,Fast Food Restaurant,Pub,Hotel,Gay Bar,Men's Store
"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",Rental Car Location,Garden Center,Bar,Drugstore,Truck Stop,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
"Clarks Corners, Tam O'Shanter, Sullivan",Pizza Place,Fried Chicken Joint,Noodle House,Italian Restaurant,Thai Restaurant,Chinese Restaurant,Intersection,Gas Station,Convenience Store,Fast Food Restaurant
"Cliffside, Cliffcrest, Scarborough Village West",Motel,Intersection,American Restaurant,Yoga Studio,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
"Commerce Court, Victoria Hotel",Coffee Shop,Restaurant,Hotel,Café,Italian Restaurant,Gym,Japanese Restaurant,Deli / Bodega,Seafood Restaurant,American Restaurant
Davisville,Sandwich Place,Dessert Shop,Pizza Place,Sushi Restaurant,Gym,Italian Restaurant,Café,Coffee Shop,Thai Restaurant,Seafood Restaurant
Davisville North,Gym / Fitness Center,Breakfast Spot,Hotel,Food & Drink Shop,Department Store,Park,Sandwich Place,Gym,American Restaurant,Discount Store
"Del Ray, Mount Dennis, Keelsdale and Silverthorn",Discount Store,Sandwich Place,Convenience Store,Bar,Yoga Studio,Donut Shop,Distribution Center,Dog Run,Doner Restaurant,Drugstore
Don Mills North,Caribbean Restaurant,Gym,Café,Athletics & Sports,Japanese Restaurant,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Donut Shop
Don Mills South,Gym,Restaurant,Coffee Shop,Grocery Store,Asian Restaurant,Sandwich Place,Bike Shop,Beer Store,Sporting Goods Shop,Italian Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Yoga Studio,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
Downsview Central,Food Truck,Baseball Field,Home Service,Yoga Studio,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Donut Shop,Dim Sum Restaurant
Downsview East,Airport,Park,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
Downsview Northwest,Gym / Fitness Center,Grocery Store,Athletics & Sports,Discount Store,Donut Shop,Diner,Distribution Center,Dog Run,Doner Restaurant,Drugstore
Downsview West,Grocery Store,Park,Bank,Shopping Mall,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Dumpling Restaurant
"Dufferin, Dovercourt Village",Bakery,Pharmacy,Pet Store,Middle Eastern Restaurant,Music Venue,Park,Café,Brewery,Supermarket,Bar
Enclave of L4W,Coffee Shop,Hotel,American Restaurant,Intersection,Middle Eastern Restaurant,Gas Station,Mediterranean Restaurant,Sandwich Place,Fried Chicken Joint,Burrito Place
Enclave of M4L,Light Rail Station,Yoga Studio,Smoke Shop,Auto Workshop,Brewery,Burrito Place,Comic Shop,Farmers Market,Fast Food Restaurant,Garden
Enclave of M5E,Coffee Shop,Seafood Restaurant,Italian Restaurant,Restaurant,Café,Beer Bar,Cocktail Bar,Hotel,Japanese Restaurant,Lounge
"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",Pet Store,Beer Store,Pharmacy,Pizza Place,Coffee Shop,Café,Shopping Plaza,Liquor Store,Park,Gastropub
"Fairview, Henry Farm, Oriole",Clothing Store,Coffee Shop,Fast Food Restaurant,Juice Bar,Restaurant,Bank,Bakery,Shoe Store,Women's Store,Japanese Restaurant
"First Canadian Place, Underground city",Coffee Shop,Café,Hotel,Japanese Restaurant,Gym,Restaurant,Seafood Restaurant,Asian Restaurant,Deli / Bodega,American Restaurant
Forest Hill North & West,Park,Trail,Sushi Restaurant,Jewelry Store,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
"Garden District, Ryerson",Coffee Shop,Clothing Store,Bubble Tea Shop,Café,Japanese Restaurant,Middle Eastern Restaurant,Cosmetics Shop,Fast Food Restaurant,Burger Joint,Electronics Store
Glencairn,Park,Japanese Restaurant,Pizza Place,Bakery,Sushi Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
"Golden Mile, Clairlea, Oakridge",Bus Line,Bakery,Park,Intersection,Bus Station,Ice Cream Shop,Cosmetics Shop,Construction & Landscaping,Ethiopian Restaurant,Escape Room
"Guildwood, Morningside, West Hill",Restaurant,Mexican Restaurant,Electronics Store,Breakfast Spot,Rental Car Location,Intersection,Donut Shop,Medical Center,Bank,Discount Store
"Harbourfront East, Union Station, Toronto Islands",Coffee Shop,Aquarium,Café,Hotel,Brewery,Scenic Lookout,Sporting Goods Shop,Fried Chicken Joint,Restaurant,Italian Restaurant
"High Park, The Junction South",Café,Thai Restaurant,Mexican Restaurant,Bookstore,Bakery,Bar,Italian Restaurant,Flea Market,Speakeasy,Grocery Store
Hillcrest Village,Fast Food Restaurant,Golf Course,Pool,Dog Run,Mediterranean Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center
Humber Summit,Gym,Pizza Place,Furniture / Home Store,Intersection,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
"Humberlea, Emery",Baseball Field,Yoga Studio,Dim Sum Restaurant,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore
Humewood-Cedarvale,Trail,Park,Field,Hockey Arena,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
"India Bazaar, The Beaches West",Park,Fast Food Restaurant,Pizza Place,Fish & Chips Shop,Steakhouse,Sushi Restaurant,Brewery,Food & Drink Shop,Pub,Restaurant
"Kennedy Park, Ionview, East Birchmount Park",Department Store,Discount Store,Chinese Restaurant,Coffee Shop,Hobby Shop,Donut Shop,Diner,Distribution Center,Dog Run,Doner Restaurant
"Kensington Market, Chinatown, Grange Park",Café,Coffee Shop,Mexican Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Gaming Cafe,Arts & Crafts Store,Burger Joint,Grocery Store,Bakery
"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",Park,Pizza Place,Bus Line,Sandwich Place,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
"Lawrence Manor, Lawrence Heights",Furniture / Home Store,Clothing Store,Accessories Store,Boutique,Miscellaneous Shop,Coffee Shop,Women's Store,Vietnamese Restaurant,Airport Service,Diner
Lawrence Park,Park,Swim School,Bus Line,Construction & Landscaping,Yoga Studio,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant
Leaside,Coffee Shop,Sporting Goods Shop,Burger Joint,Furniture / Home Store,Bank,Sushi Restaurant,Shopping Mall,Electronics Store,Restaurant,Bike Shop
"Little Portugal, Trinity",Bar,Vietnamese Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Café,Men's Store,Asian Restaurant,Coffee Shop,New American Restaurant,Bistro
"Malvern, Rouge",Fast Food Restaurant,Farmers Market,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",Park,Playground,Intersection,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Drugstore
"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",Bakery,Wings Joint,Grocery Store,Gym,Discount Store,Fast Food Restaurant,Hardware Store,Convenience Store,Kids Store,Supplement Shop
"Moore Park, Summerhill East",Restaurant,Trail,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Department Store
"New Toronto, Mimico South, Humber Bay Shores",Café,Pet Store,American Restaurant,Fast Food Restaurant,Restaurant,Bakery,Liquor Store,Gym,Pharmacy,Pizza Place
